Time S;Temperature
0.01828;5.300311878
0.0183;5.300298328
0.01832;5.300294705
0.01834;5.30029097
0.01836;5.300287123
0.01838;5.300283164
0.0184;5.300279092
0.01842;5.30028546
0.01844;5.300292232
0.01846;5.300288864
0.01848;5.300295945
0.0185;5.300293402
0.01852;5.300302338
0.01854;5.300312718
0.01856;5.300324548
0.01858;5.300337833
0.0186;5.300352577
0.01862;5.300368787
0.01864;5.300386467
0.01866;5.300405621
0.01868;5.300426256
0.0187;5.300437826
0.01872;5.30046092
0.01874;5.300474953
0.01876;5.300500515
0.01878;5.300517023
0.0188;5.300524474
0.01882;5.300533417
0.01884;5.300533293
0.01886;5.300534133
0.01888;5.300535926
0.0189;5.300538661
0.01892;5.300542329
0.01894;5.300546919
0.01896;5.300552421
0.01898;5.300558825
0.019;5.300566121
0.01902;5.300563747
0.01904;5.300561728
0.01906;5.300560048
0.01908;5.300548652
0.0191;5.300538071
0.01912;5.300528286
0.01914;5.300519275
0.01916;5.300500467
0.01918;5.300481876
0.0192;5.300463476
0.01922;5.300445241
0.01924;5.300437698
0.01926;5.300420235
0.01928;5.300402867
0.0193;5.300395606
0.01932;5.300377843
0.01934;5.300370141
0.01936;5.300351891
0.01938;5.300343658
0.0194;5.300345419
0.01942;5.300347122
0.01944;5.300348751
0.01946;5.300350291
0.01948;5.300351726
0.0195;5.300353042
0.01952;5.300354223
0.01954;5.300355253
0.01956;5.30037722
0.01958;5.300410591
0.0196;5.300445327
0.01962;5.300481429
0.01964;5.300518897
0.01966;5.300557731
0.01968;5.30059793
0.0197;5.300639494
0.01972;5.300692463
0.01974;5.300746291
0.01976;5.300790944
0.01978;5.30083646
0.0198;5.300882328
0.01982;5.30092906
0.01984;5.300966616
0.01986;5.301005031
0.01988;5.301023198
0.0199;5.301041179
0.01992;5.30108006
0.01994;5.301129798
0.01996;5.301179842
0.01998;5.301209089
0.02;5.301237608
0.02002;5.301265388
0.02004;5.301303482
0.02006;5.301352398
0.02008;5.301401583
0.0201;5.301451038
0.02012;5.301500763
0.02014;5.301550758
0.02016;5.301601024
0.02018;5.301629945
0.0202;5.301647039
0.02022;5.301673393
0.02024;5.301698956
0.02026;5.30172372
0.02028;5.301747673
0.0203;5.301781357
0.02032;5.301814727
0.02034;5.301847779
0.02036;5.301880508
0.02038;5.301902357
0.0204;5.301923355
0.02042;5.301954042
0.02044;5.301984376
0.02046;5.30201435
0.02048;5.302033409
0.0205;5.30204103
0.02052;5.302057789
0.02054;5.302054069
0.02056;5.302071032
0.02058;5.302066974
0.0206;5.302052938
0.02062;5.302050001
0.02064;5.302048103
0.02066;5.302036674
0.02068;5.302036277
0.0207;5.302046892
0.02072;5.302057441
0.02074;5.302077947
0.02076;5.3021084
0.02078;5.302117655
0.0208;5.302126797
0.02082;5.302136324
0.02084;5.302146221
0.02086;5.302156472
0.02088;5.302156511
0.0209;5.302156356
0.02092;5.302156499
0.02094;5.302199636
0.02096;5.302202895
